ALGORITMO,NPROC,QUANTUM,RODADA,TME
../main_fifo,60,20,4,23866.083333
../main_fifo,60,20,5,28275.150000
../main_fifo,60,20,6,18623.016667
../main_fifo,60,20,7,25399.500000
../main_fifo,60,20,8,22200.416667
../main_fifo,60,20,9,27169.316667
../main_fifo,60,20,10,24812.933333
../main_fifo,60,20,11,26819.266667
../main_fifo,60,20,12,21895.466667
../main_fifo,60,20,13,21794.950000
../main_fifo,60,20,14,21174.500000
../main_fifo,60,20,15,26510.283333
../main_fifo,60,20,16,26236.350000
../main_fifo,60,20,17,23647.200000
../main_fifo,60,20,18,22485.350000
../main_fifo,60,20,19,26768.533333
../main_fifo,60,20,20,23967.483333
../main_fifo,60,20,21,27286.550000
../main_fifo,60,20,22,25212.166667
../main_fifo,60,20,23,31554.516667
../main_fifo,60,20,24,25719.450000
../main_fifo,60,20,25,21226.466667
../main_fifo,60,20,26,23670.283333
../main_fifo,60,20,27,26411.083333
../main_fifo,60,20,28,26323.783333
../main_fifo,60,20,29,23979.533333
../main_fifo,60,20,30,25988.116667
../main_fifo,70,20,1,25517.585714
../main_fifo,70,20,2,28033.185714
../main_fifo,70,20,3,34965.871429
../main_fifo,70,20,4,33439.285714
../main_fifo,70,20,5,35283.785714
../main_fifo,70,20,6,29266.757143
../main_fifo,70,20,7,28885.671429
../main_fifo,70,20,8,21867.828571
../main_fifo,70,20,9,29574.228571
../main_fifo,70,20,10,27448.800000
../main_fifo,70,20,11,32928.214286
../main_fifo,70,20,12,33536.442857
../main_fifo,70,20,13,30663.500000
../main_fifo,70,20,14,26901.500000
../main_fifo,70,20,15,30054.500000
../main_fifo,70,20,16,32001.371429
../main_fifo,70,20,17,31152.885714
../main_fifo,70,20,18,33594.028571
../main_fifo,70,20,19,30351.957143
../main_fifo,70,20,20,28696.071429
../main_fifo,70,20,21,37872.585714
../main_fifo,70,20,22,31683.028571
../main_fifo,70,20,23,31391.942857
../main_fifo,70,20,24,30184.757143
../main_fifo,70,20,25,31746.771429
../main_fifo,70,20,26,29107.700000
../main_fifo,70,20,27,33031.000000
../main_fifo,70,20,28,34607.628571
../main_fifo,70,20,29,27234.557143
../main_fifo,70,20,30,32872.385714
../main_fifo,80,20,1,35377.000000
../main_fifo,80,20,2,29890.887500
../main_fifo,80,20,3,35836.550000
../main_fifo,80,20,4,29627.675000
../main_fifo,80,20,5,33513.262500
../main_fifo,80,20,6,37895.850000
../main_fifo,80,20,7,37280.525000
../main_fifo,80,20,8,31751.862500
../main_fifo,80,20,9,31026.387500
../main_fifo,80,20,10,32865.637500
../main_fifo,80,20,11,34997.612500
../main_fifo,80,20,12,33179.275000
../main_fifo,80,20,13,28874.462500
../main_fifo,80,20,14,35879.062500
../main_fifo,80,20,15,33083.375000
../main_fifo,80,20,16,34156.812500
../main_fifo,80,20,17,34890.850000
../main_fifo,80,20,18,33953.450000
../main_fifo,80,20,19,35060.237500
../main_fifo,80,20,20,36773.437500
../main_fifo,80,20,21,27486.137500
../main_fifo,80,20,22,28945.300000
../main_fifo,80,20,23,39848.850000
../main_fifo,80,20,24,31092.612500
../main_fifo,80,20,25,35341.575000
../main_fifo,80,20,26,34612.862500
../main_fifo,80,20,27,30746.575000
../main_fifo,80,20,28,24622.600000
../main_fifo,80,20,29,32877.475000
../main_fifo,80,20,30,34482.600000
../main_fifo,90,20,1,35510.500000
../main_fifo,90,20,2,45454.544444
../main_fifo,90,20,3,42219.166667
../main_fifo,90,20,4,34714.400000
../main_fifo,90,20,5,30843.644444
../main_fifo,90,20,6,50681.833333
../main_fifo,90,20,7,48557.266667
../main_fifo,90,20,8,38301.200000
../main_fifo,90,20,9,34970.522222
../main_fifo,90,20,10,43586.488889
../main_fifo,90,20,11,39491.588889
../main_fifo,90,20,12,37008.822222
../main_fifo,90,20,13,44249.433333
../main_fifo,90,20,14,40452.788889
../main_fifo,90,20,15,38110.377778
../main_fifo,90,20,16,40116.777778
../main_fifo,90,20,17,50968.600000
../main_fifo,90,20,18,41291.733333
../main_fifo,90,20,19,34375.477778
../main_fifo,90,20,20,45327.166667
../main_fifo,90,20,21,39894.744444
../main_fifo,90,20,22,34985.455556
../main_fifo,90,20,23,52181.933333
../main_fifo,90,20,24,35057.388889
../main_fifo,90,20,25,32559.888889
../main_fifo,90,20,26,38138.722222
../main_fifo,90,20,27,44215.855556
../main_fifo,90,20,28,41048.711111
../main_fifo,90,20,29,47879.877778
../main_fifo,90,20,30,38154.588889
../main_fifo,100,20,1,54945.760000
../main_fifo,100,20,2,48127.160000
../main_fifo,100,20,3,54295.170000
../main_fifo,100,20,4,40850.710000
../main_fifo,100,20,5,44453.270000
../main_fifo,100,20,6,47360.960000
../main_fifo,100,20,7,50553.800000
../main_fifo,100,20,8,49880.430000
../main_fifo,100,20,9,45280.140000
../main_fifo,100,20,10,36605.790000
../main_fifo,100,20,11,42840.340000
../main_fifo,100,20,12,42437.520000
../main_fifo,100,20,13,42036.560000
../main_fifo,100,20,14,40873.460000
../main_fifo,100,20,15,43152.720000
../main_fifo,100,20,16,47913.080000
../main_fifo,100,20,17,49776.330000
../main_fifo,100,20,18,47547.350000
../main_fifo,100,20,19,41775.950000
../main_fifo,100,20,20,43516.710000
../main_fifo,100,20,21,44280.350000
../main_fifo,100,20,22,39439.610000
../main_fifo,100,20,23,40454.190000
../main_fifo,100,20,24,42706.070000
../main_fifo,100,20,25,48820.470000
../main_fifo,100,20,26,41383.130000
../main_fifo,100,20,27,56106.660000
../main_fifo,100,20,28,39810.610000
../main_fifo,100,20,29,50426.450000
../main_fifo,100,20,30,46678.960000
../main_fifo,10,30,1,1733.000000
../main_fifo,10,30,2,3098.500000
../main_fifo,10,30,3,2225.200000
../main_fifo,10,30,4,1724.800000
../main_fifo,10,30,5,3268.200000
../main_fifo,10,30,6,1741.700000
../main_fifo,10,30,7,2230.000000
../main_fifo,10,30,8,2645.900000
../main_fifo,10,30,9,3358.600000
../main_fifo,10,30,10,2579.300000
../main_fifo,10,30,11,1850.000000
../main_fifo,10,30,12,1406.300000
../main_fifo,10,30,13,3300.700000
../main_fifo,10,30,14,2137.500000
../main_fifo,10,30,15,2142.800000
../main_fifo,10,30,16,2071.000000
../main_fifo,10,30,17,2395.300000
../main_fifo,10,30,18,1959.200000
../main_fifo,10,30,19,1700.600000
../main_fifo,10,30,20,2078.000000
../main_fifo,10,30,21,1353.800000
../main_fifo,10,30,22,2459.000000
../main_fifo,10,30,23,2063.700000
../main_fifo,10,30,24,2466.600000
../main_fifo,10,30,25,3232.900000
../main_fifo,10,30,26,2497.100000
../main_fifo,10,30,27,1934.300000
../main_fifo,10,30,28,1623.600000
../main_fifo,10,30,29,1937.000000
../main_fifo,10,30,30,2275.100000
../main_fifo,20,30,1,6854.300000
../main_fifo,20,30,2,3525.350000
../main_fifo,20,30,3,5845.700000
../main_fifo,20,30,4,4184.450000
../main_fifo,20,30,5,4562.200000
../main_fifo,20,30,6,4732.900000
../main_fifo,20,30,7,4936.800000
../main_fifo,20,30,8,4020.600000
../main_fifo,20,30,9,5023.650000
../main_fifo,20,30,10,3368.150000
../main_fifo,20,30,11,5931.950000
../main_fifo,20,30,12,6140.050000
../main_fifo,20,30,13,5378.650000
../main_fifo,20,30,14,4467.400000
../main_fifo,20,30,15,8394.350000
../main_fifo,20,30,16,4877.800000
../main_fifo,20,30,17,6064.050000
../main_fifo,20,30,18,5344.950000
../main_fifo,20,30,19,5587.050000
../main_fifo,20,30,20,4952.900000
../main_fifo,20,30,21,3892.500000
../main_fifo,20,30,22,4649.400000
../main_fifo,20,30,23,5297.400000
../main_fifo,20,30,24,4792.200000
../main_fifo,20,30,25,5359.750000
../main_fifo,20,30,26,6240.650000
../main_fifo,20,30,27,4924.600000
../main_fifo,20,30,28,5212.700000
../main_fifo,20,30,29,5799.050000
../main_fifo,20,30,30,4099.700000
../main_fifo,30,30,1,7498.866667
../main_fifo,30,30,2,7924.000000
../main_fifo,30,30,3,8417.600000
../main_fifo,30,30,4,7034.733333
../main_fifo,30,30,5,8895.066667
../main_fifo,30,30,6,11808.200000
../main_fifo,30,30,7,11343.733333
../main_fifo,30,30,8,6329.766667
../main_fifo,30,30,9,10927.833333
../main_fifo,30,30,10,9643.100000
../main_fifo,30,30,11,10755.933333
../main_fifo,30,30,12,7127.266667
../main_fifo,30,30,13,8355.166667
../main_fifo,30,30,14,9154.800000
../main_fifo,30,30,15,7673.366667
../main_fifo,30,30,16,7182.033333
../main_fifo,30,30,17,9254.100000
../main_fifo,30,30,18,9401.566667
../main_fifo,30,30,19,9216.166667
../main_fifo,30,30,20,8167.100000
../main_fifo,30,30,21,10292.966667
../main_fifo,30,30,22,8501.133333
../main_fifo,30,30,23,7869.366667
../main_fifo,30,30,24,6871.533333
../main_fifo,30,30,25,5963.233333
../main_fifo,30,30,26,6933.400000
../main_fifo,30,30,27,8139.566667
../main_fifo,30,30,28,9938.700000
../main_fifo,30,30,29,8054.533333
../main_fifo,30,30,30,11688.433333
../main_fifo,40,30,1,11837.875000
../main_fifo,40,30,2,9102.275000
../main_fifo,40,30,3,10564.875000
../main_fifo,40,30,4,11290.950000
../main_fifo,40,30,5,13801.725000
../main_fifo,40,30,6,11299.475000
../main_fifo,40,30,7,12758.275000
../main_fifo,40,30,8,13111.550000
../main_fifo,40,30,9,8969.225000
../main_fifo,40,30,10,13946.425000
../main_fifo,40,30,11,11644.450000
../main_fifo,40,30,12,10826.725000
../main_fifo,40,30,13,9885.125000
../main_fifo,40,30,14,12412.300000
../main_fifo,40,30,15,9784.450000
../main_fifo,40,30,16,11082.400000
../main_fifo,40,30,17,9950.375000
../main_fifo,40,30,18,15337.750000
../main_fifo,40,30,19,10336.150000
../main_fifo,40,30,20,9916.150000
../main_fifo,40,30,21,11236.125000
../main_fifo,40,30,22,12895.575000
../main_fifo,40,30,23,9368.200000
../main_fifo,40,30,24,9353.375000
../main_fifo,40,30,25,10916.600000
../main_fifo,40,30,26,10338.550000
../main_fifo,40,30,27,12849.200000
../main_fifo,40,30,28,11655.075000
../main_fifo,40,30,29,10177.000000
../main_fifo,40,30,30,10957.600000
../main_fifo,50,30,1,16880.100000
../main_fifo,50,30,2,12154.220000
../main_fifo,50,30,3,13143.300000
../main_fifo,50,30,4,15499.380000
../main_fifo,50,30,5,12761.620000
../main_fifo,50,30,6,15374.460000
../main_fifo,50,30,7,16855.860000
../main_fifo,50,30,8,18369.240000
../main_fifo,50,30,9,12788.660000
../main_fifo,50,30,10,15170.300000
../main_fifo,50,30,11,11190.760000
../main_fifo,50,30,12,15193.020000
